what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1329944358007
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1329944360117
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1329944361523
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1329944375837
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1329944375946
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1329944377321
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1329944378337
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1329944380212
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1329944458310
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1329944951785
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1329944953129
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1329945904257
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1329945905710
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1329945907210
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1329945956118
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1329945957181
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1329945972837
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1329946005417
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1329946033371
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.ClassFileEditor",1329946034246
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.ClassFileEditor",1329946034277
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329946036214
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.ClassFileEditor",1329946036214
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1329946037777
