what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.core,3.5.2.v_981_R35x,"org.eclipse.jdt.core",1358445376734
started,bundle,org.eclipse.jdt.launching,3.5.1.v20100108_r352,"org.eclipse.jdt.launching",1358445376734
started,bundle,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui",1358445376734
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1358445376734
started,bundle,org.eclipse.wst.sse.core,1.1.402.v201001251516,"org.eclipse.wst.sse.core",1358445376734
started,bundle,com.instantiations.common.core,5.6.0.r35x201007231308,"com.instantiations.common.core",1358445376734
started,bundle,com.instantiations.designer.core,7.6.0.r35x201008040432,"com.instantiations.designer.core",1358445376734
started,bundle,com.instantiations.designer.core.lib,7.6.0.r35x201008040432,"com.instantiations.designer.core.lib",1358445376750
started,bundle,com.instantiations.eclipse.debug,5.6.0.r35x201007231308,"com.instantiations.eclipse.debug",1358445376750
started,bundle,com.instantiations.eclipse.startup,5.6.0.r35x201007231308,"com.instantiations.eclipse.startup",1358445376750
started,bundle,com.instantiations.eclipse.ui,7.6.0.r35x201007290412,"com.instantiations.eclipse.ui",1358445376750
started,bundle,com.instantiations.eclipse.util,5.6.0.r35x201007231308,"com.instantiations.eclipse.util",1358445376750
started,bundle,net.rim.ejde,2.0.0.201008051045-14,"net.rim.ejde",1358445376750
started,bundle,net.rim.ejde.designer,1.0.0.r35x201008041452,"net.rim.ejde.designer",1358445376750
started,bundle,org.eclipse.core.expressions,3.4.101.R35x_v20100209,"org.eclipse.core.expressions",1358445376750
started,bundle,org.eclipse.core.filesystem,1.2.1.R35x_v20091203-1235,"org.eclipse.core.filesystem",1358445376750
started,bundle,org.eclipse.core.resources,3.5.2.R35x_v20091203-1235,"org.eclipse.core.resources",1358445376750
started,bundle,org.eclipse.debug.core,3.5.1.v20091103_r352,"org.eclipse.debug.core",1358445376750
started,bundle,org.eclipse.equinox.app,1.2.1.R35x_v20091203,"org.eclipse.equinox.app",1358445376750
started,bundle,org.eclipse.equinox.frameworkadmin.equinox,1.0.101.R35x_v20091214,"org.eclipse.equinox.frameworkadmin.equinox",1358445376750
started,bundle,org.eclipse.equinox.p2.director,1.0.101.R35x_v20100112,"org.eclipse.equinox.p2.director",1358445376750
started,bundle,org.eclipse.equinox.p2.engine,1.0.102.R35x_v20091117,"org.eclipse.equinox.p2.engine",1358445376750
started,bundle,org.eclipse.equinox.p2.repository,1.0.1.R35x_v20100105,"org.eclipse.equinox.p2.repository",1358445376750
started,bundle,org.eclipse.equinox.preferences,3.2.301.R35x_v20091117,"org.eclipse.equinox.preferences",1358445376750
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,1.0.101.R35x_v20100209,"org.eclipse.equinox.simpleconfigurator.manipulator",1358445376765
started,bundle,org.eclipse.jface,3.5.2.M20100120-0800,"org.eclipse.jface",1358445376765
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring",1358445376765
started,bundle,org.eclipse.pde.ui,3.5.1.v201001121200,"org.eclipse.pde.ui",1358445376765
started,bundle,org.eclipse.team.core,3.5.1.r35x_20100113-0800,"org.eclipse.team.core",1358445376765
started,bundle,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui",1358445376765
started,bundle,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.ide",1358445376765
started,bundle,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"org.eclipse.ui.workbench",1358445376765
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.workbench.texteditor",1358445376765
started,bundle,com.android.ide.eclipse.ddms,15.0.0.v201110251216-213216,"com.android.ide.eclipse.ddms",1358445376765
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.3.v20111014-0100,"org.eclipse.mylyn.bugzilla.core",1358445376765
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1358445376765
